num_topics,passes,iterations,alpha,eta,coherence,perplexity
15,5,15,"[0.15584178 0.10346821 0.06489896 0.4954723  0.36674672 0.03594363
 0.34487408 0.2546182  0.27014232 0.28889626 0.1940619  0.2088512
 0.47495553 0.25737607 0.98914886]",[0.23776428 0.22925177 0.08270974 ... 0.06302068 0.06375817 0.05920193],0.632853162824816,-13.023439249776711
15,5,20,"[0.1396777  0.09077819 0.05261362 0.45923647 0.29843637 0.03101522
 0.33425522 0.2371336  0.2860378  0.26357847 0.1360847  0.22289893
 0.4028824  0.24476635 0.9104942 ]",[0.19607285 0.21738848 0.08522765 ... 0.05934511 0.05963331 0.05927292],0.6064211084395591,-13.00993397170364
20,1,10,"[0.21400014 0.17784323 0.15630189 0.24966368 0.21120353 0.12272318
 0.23514822 0.24512708 0.2586763  0.25449392 0.18555665 0.30681482
 0.37976533 0.21627663 0.58930147 0.5411219  0.24517109 0.14931515
 0.7904507  0.21348369]",[1.3939042  1.7231787  1.5470078  ... 0.0572058  0.06600592 0.05894762],0.6723717506573241,-14.042437377582809
20,1,15,"[0.10282691 0.08425786 0.07026553 0.15266953 0.1315879  0.06159339
 0.1202019  0.13617247 0.14668608 0.1372005  0.0730254  0.15700519
 0.1661797  0.1179339  0.27383542 0.38224387 0.16488977 0.07039027
 0.59262013 0.12218849]",[1.0317087  1.3370187  1.195776   ... 0.05290144 0.06270276 0.05604926],0.6313762126008027,-13.90520864168626
20,1,20,"[0.07899171 0.06337796 0.05291359 0.12318187 0.10393179 0.04836837
 0.09321608 0.10508206 0.12029909 0.10716587 0.05541827 0.11819129
 0.10896946 0.09432852 0.17041408 0.33474755 0.13800706 0.05480085
 0.5041132  0.10580242]",[0.84273976 1.1475071  1.0040234  ... 0.05139927 0.06385389 0.05733414],0.6268301006474342,-13.860896804440404
20,3,10,"[0.15140133 0.15094884 0.08509419 0.3681644  0.26898292 0.06940398
 0.16576292 0.2522983  0.1858458  0.33795017 0.10288792 0.214072
 0.44095024 0.29437476 0.76757574 0.6473482  0.32148436 0.07402968
 1.1217632  0.14512235]",[0.2721527  0.5279169  0.20611578 ... 0.04621906 0.04873018 0.04708961],0.6002919290127893,-13.883942329028386
20,3,15,"[0.091762   0.06090107 0.04383573 0.2535517  0.17943093 0.04307394
 0.09942152 0.16541816 0.14119855 0.20460853 0.05452297 0.136934
 0.19982699 0.1928604  0.29411072 0.5925243  0.25720754 0.04293862
 1.0568954  0.13332424]",[0.1454699  0.18650076 0.12666242 ... 0.04621875 0.04684856 0.04679341],0.6092412895599357,-13.787032659514031
20,3,20,"[0.07825079 0.04997835 0.03591518 0.20778061 0.14371772 0.03618674
 0.08453631 0.13865565 0.13763596 0.16386928 0.04527502 0.12031565
 0.13195883 0.16386332 0.18758196 0.61068547 0.23457167 0.03831531
 1.0181962  0.15540826]",[0.13246007 0.1618473  0.11803806 ... 0.04623124 0.04672179 0.04783362],0.6090078766130452,-13.73798986211462
20,5,10,"[0.15206926 0.17134428 0.07598724 0.51397717 0.28036618 0.05917972
 0.16566211 0.27860278 0.17151551 0.4523191  0.08869501 0.18267296
 0.47878045 0.44437847 0.82290906 0.74393153 0.36669624 0.06099538
 1.1692358  0.13928942]",[0.12736902 0.14318737 0.0594904  ... 0.04561748 0.04820033 0.04571792],0.5878465746413014,-13.740631043041128
20,5,15,"[0.10100662 0.05635152 0.0376008  0.36873624 0.20074806 0.03917059
 0.10493803 0.20439905 0.15347281 0.28632978 0.05362955 0.13320912
 0.23119386 0.3069846  0.27933133 0.7434638  0.33176628 0.03653632
 1.242505   0.15260504]",[0.10167666 0.12086042 0.05805302 ... 0.04597614 0.04611933 0.04607348],0.5904898814322226,-13.613409588478042
20,5,20,"[0.0897474  0.04820089 0.03125475 0.2946921  0.1643657  0.03392588
 0.09023181 0.17792495 0.1564827  0.22285952 0.04530773 0.12596528
 0.15315372 0.2580909  0.19325043 0.7816117  0.30870464 0.03425828
 1.2083453  0.19634067]",[0.09818086 0.1084212  0.05813602 ... 0.04605186 0.04619404 0.04617111],0.5957084797207972,-13.569840842517428
